Date,Location,Crop_Type,Growth_Stage,Pest_Management,Planting_Season
2023-04-15,Iowa,Soybeans,Vegetative,Chemical Control,Spring
2023-04-16,Iowa,Soybeans,Mature,No Control,Spring
2023-04-17,Iowa,Wheat,Vegetative,Cultural Control,Spring
2023-04-18,Iowa,Cotton,Flowering,No Control,Spring
2023-04-19,Iowa,Rice,Flowering,Biological Control,Spring
2023-04-20,Iowa,Rice,Vegetative,Cultural Control,Spring
2023-04-21,Iowa,Soybeans,Fruiting,No Control,Spring
2023-04-22,Iowa,Soybeans,Flowering,Biological Control,Spring
2023-04-23,Iowa,Soybeans,Fruiting,Biological Control,Spring
2023-04-24,Iowa,Rice,Vegetative,No Control,Spring
2023-04-25,Iowa,Corn,Mature,Chemical Control,Spring
2023-04-26,Iowa,Wheat,Seedling,Chemical Control,Spring
2023-04-27,Iowa,Soybeans,Flowering,Cultural Control,Spring
2023-04-28,Iowa,Soybeans,Flowering,Biological Control,Spring
2023-04-29,Iowa,Cotton,Fruiting,Biological Control,Spring
2023-04-30,Iowa,Cotton,Mature,Biological Control,Spring
2023-05-01,Iowa,Soybeans,Flowering,Biological Control,Spring
2023-05-02,Iowa,Rice,Flowering,No Control,Spring
2023-05-03,Iowa,Cotton,Fruiting,Biological Control,Spring
2023-05-04,Iowa,Soybeans,Vegetative,No Control,Spring
2023-05-05,Iowa,Soybeans,Fruiting,No Control,Spring
2023-05-06,Iowa,Wheat,Flowering,No Control,Spring
2023-05-07,Iowa,Wheat,Seedling,Chemical Control,Spring
2023-05-08,Iowa,Cotton,Vegetative,Cultural Control,Spring
2023-05-09,Iowa,Rice,Fruiting,Chemical Control,Spring
2023-05-10,Iowa,Corn,Flowering,Biological Control,Spring
2023-05-11,Iowa,Cotton,Seedling,No Control,Spring
2023-05-12,Iowa,Rice,Mature,No Control,Spring
2023-05-13,Iowa,Soybeans,Seedling,No Control,Spring
2023-05-14,Iowa,Soybeans,Flowering,Biological Control,Spring
2023-05-15,Iowa,Soybeans,Mature,Biological Control,Spring
2023-05-16,Iowa,Cotton,Seedling,Chemical Control,Spring
2023-05-17,Iowa,Cotton,Vegetative,No Control,Spring
2023-05-18,Iowa,Corn,Mature,Biological Control,Spring
2023-05-19,Iowa,Cotton,Seedling,Biological Control,Spring
2023-05-20,Iowa,Corn,Seedling,Cultural Control,Spring
2023-05-21,Iowa,Cotton,Flowering,Biological Control,Spring
2023-05-22,Iowa,Soybeans,Vegetative,No Control,Spring
2023-05-23,Iowa,Cotton,Seedling,Biological Control,Spring
2023-05-24,Iowa,Wheat,Flowering,No Control,Spring
2023-05-25,Iowa,Corn,Vegetative,Cultural Control,Spring
2023-05-26,Iowa,Corn,Seedling,Chemical Control,Spring
2023-05-27,Iowa,Rice,Vegetative,Biological Control,Spring
2023-05-28,Iowa,Rice,Fruiting,Biological Control,Spring
2023-05-29,Iowa,Soybeans,Mature,No Control,Spring
2023-05-30,Iowa,Corn,Mature,Cultural Control,Spring
2023-05-31,Iowa,Rice,Fruiting,Biological Control,Spring
2023-06-01,Iowa,Soybeans,Flowering,Biological Control,Summer
2023-06-02,Iowa,Soybeans,Vegetative,Chemical Control,Summer
2023-06-03,Iowa,Soybeans,Seedling,Chemical Control,Summer
2023-06-04,Iowa,Cotton,Mature,Chemical Control,Summer
2023-06-05,Iowa,Wheat,Flowering,Chemical Control,Summer
2023-06-06,Iowa,Corn,Fruiting,Cultural Control,Summer
2023-06-07,Iowa,Wheat,Seedling,No Control,Summer
2023-06-08,Iowa,Corn,Seedling,No Control,Summer
2023-06-09,Iowa,Soybeans,Seedling,Cultural Control,Summer
2023-06-10,Iowa,Rice,Fruiting,Cultural Control,Summer
2023-06-11,Iowa,Cotton,Flowering,Cultural Control,Summer
2023-06-12,Iowa,Corn,Vegetative,No Control,Summer
2023-06-13,Iowa,Wheat,Seedling,Cultural Control,Summer
2023-06-14,Iowa,Rice,Flowering,Cultural Control,Summer
2023-06-15,Iowa,Wheat,Flowering,Biological Control,Summer
2023-06-16,Iowa,Wheat,Fruiting,Chemical Control,Summer
2023-06-17,Iowa,Soybeans,Flowering,Biological Control,Summer
2023-06-18,Iowa,Soybeans,Fruiting,Biological Control,Summer
2023-06-19,Iowa,Rice,Fruiting,Biological Control,Summer
2023-06-20,Iowa,Cotton,Mature,No Control,Summer
2023-06-21,Iowa,Soybeans,Seedling,Cultural Control,Summer
2023-06-22,Iowa,Rice,Seedling,Chemical Control,Summer
2023-06-23,Iowa,Soybeans,Seedling,Chemical Control,Summer
2023-06-24,Iowa,Rice,Mature,Biological Control,Summer
2023-06-25,Iowa,Soybeans,Vegetative,No Control,Summer
2023-06-26,Iowa,Wheat,Flowering,Chemical Control,Summer
2023-06-27,Iowa,Soybeans,Vegetative,Cultural Control,Summer
2023-06-28,Iowa,Cotton,Seedling,Chemical Control,Summer
2023-06-29,Iowa,Corn,Vegetative,Cultural Control,Summer
2023-06-30,Iowa,Cotton,Mature,Biological Control,Summer
2023-07-01,Iowa,Cotton,Fruiting,No Control,Summer
2023-07-02,Iowa,Rice,Fruiting,Chemical Control,Summer
2023-07-03,Iowa,Soybeans,Fruiting,Chemical Control,Summer
2023-07-04,Iowa,Corn,Fruiting,Cultural Control,Summer
2023-07-05,Iowa,Soybeans,Seedling,No Control,Summer
2023-07-06,Iowa,Cotton,Vegetative,No Control,Summer
2023-07-07,Iowa,Corn,Fruiting,No Control,Summer
2023-07-08,Iowa,Corn,Mature,Cultural Control,Summer
2023-07-09,Iowa,Cotton,Mature,Cultural Control,Summer
2023-07-10,Iowa,Soybeans,Fruiting,Chemical Control,Summer
2023-07-11,Iowa,Wheat,Fruiting,Chemical Control,Summer
2023-07-12,Iowa,Corn,Seedling,Cultural Control,Summer
2023-07-13,Iowa,Cotton,Mature,No Control,Summer
2023-07-14,Iowa,Wheat,Mature,Biological Control,Summer
2023-07-15,Iowa,Cotton,Vegetative,Chemical Control,Summer
2023-07-16,Iowa,Wheat,Mature,No Control,Summer
2023-07-17,Iowa,Rice,Vegetative,No Control,Summer
2023-07-18,Iowa,Cotton,Fruiting,Chemical Control,Summer
2023-07-19,Iowa,Rice,Flowering,Biological Control,Summer
2023-07-20,Iowa,Soybeans,Mature,Biological Control,Summer
2023-07-21,Iowa,Rice,Seedling,No Control,Summer
2023-07-22,Iowa,Corn,Fruiting,Cultural Control,Summer
2023-07-23,Iowa,Wheat,Flowering,Chemical Control,Summer
2023-07-24,Iowa,Cotton,Flowering,Cultural Control,Summer
2023-07-25,Iowa,Rice,Fruiting,No Control,Summer
2023-07-26,Iowa,Rice,Mature,Cultural Control,Summer
2023-07-27,Iowa,Cotton,Fruiting,Biological Control,Summer
2023-07-28,Iowa,Cotton,Vegetative,No Control,Summer
2023-07-29,Iowa,Soybeans,Mature,No Control,Summer
2023-07-30,Iowa,Cotton,Flowering,Chemical Control,Summer
2023-07-31,Iowa,Rice,Seedling,Cultural Control,Summer
2023-08-01,Iowa,Cotton,Vegetative,Cultural Control,Summer
2023-08-02,Iowa,Soybeans,Seedling,Biological Control,Summer
2023-08-03,Iowa,Soybeans,Vegetative,Biological Control,Summer
2023-08-04,Iowa,Cotton,Flowering,Cultural Control,Summer
2023-08-05,Iowa,Wheat,Seedling,Chemical Control,Summer
2023-08-06,Iowa,Soybeans,Seedling,No Control,Summer
2023-08-07,Iowa,Corn,Flowering,Chemical Control,Summer
2023-08-08,Iowa,Soybeans,Vegetative,Biological Control,Summer
2023-08-09,Iowa,Corn,Seedling,Chemical Control,Summer
2023-08-10,Iowa,Rice,Vegetative,Cultural Control,Summer
2023-08-11,Iowa,Cotton,Flowering,Biological Control,Summer
2023-08-12,Iowa,Rice,Seedling,Biological Control,Summer
2023-08-13,Iowa,Rice,Flowering,No Control,Summer
2023-08-14,Iowa,Wheat,Mature,Biological Control,Summer
2023-08-15,Iowa,Soybeans,Flowering,Cultural Control,Summer
2023-08-16,Iowa,Cotton,Fruiting,Cultural Control,Summer
2023-08-17,Iowa,Rice,Flowering,Chemical Control,Summer
2023-08-18,Iowa,Wheat,Vegetative,Chemical Control,Summer
2023-08-19,Iowa,Soybeans,Vegetative,Cultural Control,Summer
2023-08-20,Iowa,Soybeans,Seedling,Cultural Control,Summer
2023-08-21,Iowa,Cotton,Fruiting,Biological Control,Summer
2023-08-22,Iowa,Wheat,Seedling,No Control,Summer
2023-08-23,Iowa,Rice,Fruiting,Biological Control,Summer
2023-08-24,Iowa,Corn,Mature,Biological Control,Summer
2023-08-25,Iowa,Cotton,Seedling,Biological Control,Summer
2023-08-26,Iowa,Corn,Vegetative,Cultural Control,Summer
2023-08-27,Iowa,Wheat,Mature,Chemical Control,Summer
2023-08-28,Iowa,Corn,Flowering,Cultural Control,Summer
2023-08-29,Iowa,Soybeans,Seedling,Cultural Control,Summer
2023-08-30,Iowa,Wheat,Mature,Cultural Control,Summer
2023-08-31,Iowa,Wheat,Flowering,No Control,Summer
2023-09-01,Iowa,Soybeans,Seedling,No Control,Fall
2023-09-02,Iowa,Rice,Vegetative,Chemical Control,Fall
2023-09-03,Iowa,Soybeans,Fruiting,No Control,Fall
2023-09-04,Iowa,Wheat,Seedling,Cultural Control,Fall
2023-09-05,Iowa,Cotton,Mature,Biological Control,Fall
2023-09-06,Iowa,Wheat,Seedling,Biological Control,Fall
2023-09-07,Iowa,Corn,Vegetative,Cultural Control,Fall
2023-09-08,Iowa,Wheat,Vegetative,No Control,Fall
2023-09-09,Iowa,Corn,Fruiting,Biological Control,Fall
2023-09-10,Iowa,Cotton,Fruiting,Biological Control,Fall
2023-09-11,Iowa,Rice,Flowering,No Control,Fall
2023-09-12,Iowa,Cotton,Mature,Biological Control,Fall
2023-09-13,Iowa,Wheat,Seedling,No Control,Fall
2023-09-14,Iowa,Rice,Flowering,Chemical Control,Fall
2023-09-15,Iowa,Rice,Fruiting,Cultural Control,Fall
2023-09-16,Iowa,Wheat,Seedling,Cultural Control,Fall
2023-09-17,Iowa,Soybeans,Mature,Chemical Control,Fall
2023-09-18,Iowa,Corn,Mature,Biological Control,Fall
2023-09-19,Iowa,Soybeans,Fruiting,Chemical Control,Fall
2023-09-20,Iowa,Rice,Vegetative,Biological Control,Fall
2023-09-21,Iowa,Wheat,Fruiting,No Control,Fall
2023-09-22,Iowa,Soybeans,Flowering,Chemical Control,Fall
2023-09-23,Iowa,Cotton,Fruiting,Cultural Control,Fall
2023-09-24,Iowa,Corn,Flowering,Chemical Control,Fall
2023-09-25,Iowa,Soybeans,Vegetative,Chemical Control,Fall
2023-09-26,Iowa,Wheat,Fruiting,Cultural Control,Fall
2023-09-27,Iowa,Corn,Flowering,No Control,Fall
2023-09-28,Iowa,Cotton,Mature,Cultural Control,Fall
2023-09-29,Iowa,Wheat,Fruiting,Cultural Control,Fall
2023-09-30,Iowa,Wheat,Flowering,Cultural Control,Fall
2023-10-01,Iowa,Corn,Fruiting,Biological Control,Fall
2023-10-02,Iowa,Rice,Seedling,Cultural Control,Fall
2023-10-03,Iowa,Wheat,Vegetative,Chemical Control,Fall
2023-10-04,Iowa,Soybeans,Seedling,No Control,Fall
2023-10-05,Iowa,Soybeans,Vegetative,Biological Control,Fall
2023-10-06,Iowa,Cotton,Flowering,Cultural Control,Fall
2023-10-07,Iowa,Rice,Vegetative,Chemical Control,Fall
2023-10-08,Iowa,Rice,Mature,Cultural Control,Fall
2023-10-09,Iowa,Corn,Seedling,Biological Control,Fall
2023-10-10,Iowa,Soybeans,Fruiting,Cultural Control,Fall
2023-10-11,Iowa,Corn,Vegetative,No Control,Fall
2023-10-12,Iowa,Corn,Flowering,No Control,Fall
2023-10-13,Iowa,Rice,Flowering,Chemical Control,Fall
2023-10-14,Iowa,Rice,Seedling,Cultural Control,Fall
2023-10-15,Iowa,Corn,Seedling,Biological Control,Fall
2023-10-16,Iowa,Rice,Mature,Cultural Control,Fall
2023-10-17,Iowa,Corn,Mature,No Control,Fall
2023-10-18,Iowa,Wheat,Vegetative,Chemical Control,Fall
2023-10-19,Iowa,Cotton,Flowering,Biological Control,Fall
2023-10-20,Iowa,Rice,Seedling,No Control,Fall
2023-10-21,Iowa,Soybeans,Fruiting,Chemical Control,Fall
2023-10-22,Iowa,Rice,Seedling,Biological Control,Fall
2023-10-23,Iowa,Rice,Vegetative,Chemical Control,Fall
2023-10-24,Iowa,Soybeans,Fruiting,Cultural Control,Fall
2023-10-25,Iowa,Soybeans,Flowering,Biological Control,Fall
2023-10-26,Iowa,Cotton,Flowering,No Control,Fall
2023-10-27,Iowa,Rice,Seedling,Biological Control,Fall
2023-10-28,Iowa,Rice,Vegetative,No Control,Fall
2023-10-29,Iowa,Rice,Vegetative,Biological Control,Fall
2023-10-30,Iowa,Wheat,Seedling,No Control,Fall
2023-10-31,Iowa,Rice,Fruiting,Chemical Control,Fall
2023-11-01,Iowa,Wheat,Mature,Biological Control,Fall
2023-11-02,Iowa,Wheat,Vegetative,No Control,Fall
2023-11-03,Iowa,Cotton,Flowering,Chemical Control,Fall
2023-11-04,Iowa,Cotton,Flowering,Cultural Control,Fall
2023-11-05,Iowa,Wheat,Fruiting,Cultural Control,Fall
2023-11-06,Iowa,Rice,Fruiting,Biological Control,Fall
2023-11-07,Iowa,Rice,Mature,Biological Control,Fall
2023-11-08,Iowa,Cotton,Fruiting,Biological Control,Fall
2023-11-09,Iowa,Wheat,Fruiting,Biological Control,Fall
2023-11-10,Iowa,Wheat,Vegetative,Cultural Control,Fall
2023-11-11,Iowa,Wheat,Vegetative,Cultural Control,Fall
2023-11-12,Iowa,Corn,Flowering,Biological Control,Fall
2023-11-13,Iowa,Cotton,Flowering,Biological Control,Fall
2023-11-14,Iowa,Cotton,Vegetative,Cultural Control,Fall
2023-11-15,Iowa,Wheat,Flowering,Cultural Control,Fall
2023-11-16,Iowa,Rice,Flowering,Cultural Control,Fall
2023-11-17,Iowa,Corn,Fruiting,No Control,Fall
2023-11-18,Iowa,Rice,Flowering,Biological Control,Fall
2023-11-19,Iowa,Cotton,Seedling,Cultural Control,Fall
2023-11-20,Iowa,Corn,Flowering,Cultural Control,Fall
2023-11-21,Iowa,Corn,Flowering,Chemical Control,Fall
2023-11-22,Iowa,Rice,Flowering,Biological Control,Fall
2023-11-23,Iowa,Soybeans,Flowering,Biological Control,Fall
2023-11-24,Iowa,Wheat,Flowering,Biological Control,Fall
2023-11-25,Iowa,Cotton,Fruiting,No Control,Fall
2023-11-26,Iowa,Rice,Flowering,Biological Control,Fall
2023-11-27,Iowa,Corn,Mature,No Control,Fall
2023-11-28,Iowa,Corn,Fruiting,Biological Control,Fall
2023-11-29,Iowa,Rice,Fruiting,Biological Control,Fall
2023-11-30,Iowa,Corn,Vegetative,Cultural Control,Fall
2023-12-01,Iowa,Wheat,Vegetative,Cultural Control,Winter
2023-12-02,Iowa,Cotton,Seedling,No Control,Winter
2023-12-03,Iowa,Wheat,Seedling,Cultural Control,Winter
2023-12-04,Iowa,Soybeans,Flowering,No Control,Winter
2023-12-05,Iowa,Soybeans,Flowering,Chemical Control,Winter
2023-12-06,Iowa,Corn,Seedling,Biological Control,Winter
2023-12-07,Iowa,Corn,Fruiting,Cultural Control,Winter
2023-12-08,Iowa,Rice,Vegetative,No Control,Winter
2023-12-09,Iowa,Corn,Seedling,Biological Control,Winter
2023-12-10,Iowa,Soybeans,Vegetative,Chemical Control,Winter
2023-12-11,Iowa,Wheat,Mature,Cultural Control,Winter
2023-12-12,Iowa,Rice,Mature,No Control,Winter
2023-12-13,Iowa,Soybeans,Seedling,Chemical Control,Winter
2023-12-14,Iowa,Soybeans,Seedling,Cultural Control,Winter
2023-12-15,Iowa,Corn,Seedling,No Control,Winter
2023-12-16,Iowa,Wheat,Vegetative,Chemical Control,Winter
2023-12-17,Iowa,Corn,Mature,No Control,Winter
2023-12-18,Iowa,Soybeans,Seedling,No Control,Winter
2023-12-19,Iowa,Cotton,Mature,Chemical Control,Winter
2023-12-20,Iowa,Rice,Seedling,Biological Control,Winter
2023-12-21,Iowa,Cotton,Seedling,Cultural Control,Winter
2023-12-22,Iowa,Rice,Vegetative,Cultural Control,Winter
2023-12-23,Iowa,Rice,Mature,Cultural Control,Winter
2023-12-24,Iowa,Corn,Seedling,Cultural Control,Winter
2023-12-25,Iowa,Soybeans,Seedling,Biological Control,Winter
2023-12-26,Iowa,Rice,Seedling,Cultural Control,Winter
2023-12-27,Iowa,Corn,Mature,Chemical Control,Winter
2023-12-28,Iowa,Rice,Seedling,No Control,Winter
2023-12-29,Iowa,Wheat,Mature,Biological Control,Winter
2023-12-30,Iowa,Wheat,Flowering,Chemical Control,Winter
2023-12-31,Iowa,Wheat,Fruiting,Biological Control,Winter
2023-01-01,Texas,Soybeans,Flowering,Chemical Control,Winter
2023-01-02,Texas,Cotton,Mature,Cultural Control,Winter
2023-01-03,Texas,Corn,Flowering,No Control,Winter
2023-01-04,Texas,Soybeans,Vegetative,Biological Control,Winter
2023-01-05,Texas,Rice,Fruiting,Chemical Control,Winter
2023-01-06,Texas,Wheat,Seedling,Chemical Control,Winter
2023-01-07,Texas,Rice,Mature,No Control,Winter
2023-01-08,Texas,Soybeans,Fruiting,Biological Control,Winter
2023-01-09,Texas,Cotton,Seedling,Chemical Control,Winter
2023-01-10,Texas,Wheat,Flowering,Biological Control,Winter
2023-01-11,Texas,Corn,Flowering,No Control,Winter
2023-01-12,Texas,Rice,Vegetative,No Control,Winter
2023-01-13,Texas,Wheat,Seedling,Cultural Control,Winter
2023-01-14,Texas,Corn,Vegetative,No Control,Winter
2023-01-15,Texas,Wheat,Fruiting,Chemical Control,Winter
2023-01-16,Texas,Soybeans,Flowering,Chemical Control,Winter
2023-01-17,Texas,Rice,Seedling,Chemical Control,Winter
2023-01-18,Texas,Wheat,Flowering,Biological Control,Winter
2023-01-19,Texas,Wheat,Mature,Cultural Control,Winter
2023-01-20,Texas,Rice,Seedling,Biological Control,Winter
2023-01-21,Texas,Corn,Mature,Cultural Control,Winter
2023-01-22,Texas,Corn,Seedling,Cultural Control,Winter
2023-01-23,Texas,Rice,Vegetative,No Control,Winter
2023-01-24,Texas,Soybeans,Flowering,Cultural Control,Winter
2023-01-25,Texas,Corn,Seedling,Biological Control,Winter
2023-01-26,Texas,Soybeans,Flowering,No Control,Winter
2023-01-27,Texas,Wheat,Seedling,Chemical Control,Winter
2023-01-28,Texas,Rice,Seedling,No Control,Winter
2023-01-29,Texas,Soybeans,Vegetative,Chemical Control,Winter
2023-01-30,Texas,Corn,Seedling,Cultural Control,Winter
2023-01-31,Texas,Rice,Mature,No Control,Winter
2023-02-01,Texas,Corn,Fruiting,No Control,Winter
2023-02-02,Texas,Rice,Seedling,Chemical Control,Winter
2023-02-03,Texas,Corn,Flowering,Biological Control,Winter
2023-02-04,Texas,Corn,Seedling,Biological Control,Winter
2023-02-05,Texas,Corn,Vegetative,Cultural Control,Winter
2023-02-06,Texas,Wheat,Mature,No Control,Winter
2023-02-07,Texas,Corn,Flowering,Biological Control,Winter
2023-02-08,Texas,Soybeans,Fruiting,Biological Control,Winter
2023-02-09,Texas,Rice,Flowering,Cultural Control,Winter
2023-02-10,Texas,Soybeans,Vegetative,Cultural Control,Winter
2023-02-11,Texas,Rice,Flowering,Cultural Control,Winter
2023-02-12,Texas,Soybeans,Flowering,Cultural Control,Winter
2023-02-13,Texas,Corn,Seedling,No Control,Winter
2023-02-14,Texas,Wheat,Seedling,Biological Control,Winter
2023-02-15,Texas,Cotton,Fruiting,Chemical Control,Winter
2023-02-16,Texas,Soybeans,Mature,Biological Control,Winter
2023-02-17,Texas,Rice,Seedling,No Control,Winter
2023-02-18,Texas,Wheat,Flowering,No Control,Winter
2023-02-19,Texas,Rice,Fruiting,No Control,Winter
2023-02-20,Texas,Cotton,Vegetative,Biological Control,Winter
2023-02-21,Texas,Soybeans,Mature,Biological Control,Winter
2023-02-22,Texas,Soybeans,Vegetative,Biological Control,Winter
2023-02-23,Texas,Corn,Vegetative,Chemical Control,Winter
2023-02-24,Texas,Corn,Seedling,No Control,Winter
2023-02-25,Texas,Cotton,Mature,Cultural Control,Winter
2023-02-26,Texas,Wheat,Fruiting,No Control,Winter
2023-02-27,Texas,Soybeans,Vegetative,Chemical Control,Winter
2023-02-28,Texas,Soybeans,Mature,Cultural Control,Winter
2023-03-01,Texas,Corn,Flowering,Chemical Control,Spring
2023-03-02,Texas,Soybeans,Mature,No Control,Spring
2023-03-03,Texas,Cotton,Seedling,No Control,Spring
2023-03-04,Texas,Rice,Fruiting,Biological Control,Spring
2023-03-05,Texas,Corn,Vegetative,Biological Control,Spring
2023-03-06,Texas,Rice,Flowering,Chemical Control,Spring
2023-03-07,Texas,Rice,Flowering,Biological Control,Spring
2023-03-08,Texas,Cotton,Mature,Chemical Control,Spring
2023-03-09,Texas,Soybeans,Vegetative,No Control,Spring
2023-03-10,Texas,Corn,Fruiting,Chemical Control,Spring
2023-03-11,Texas,Corn,Vegetative,Cultural Control,Spring
2023-03-12,Texas,Soybeans,Mature,Biological Control,Spring
2023-03-13,Texas,Rice,Mature,Biological Control,Spring
2023-03-14,Texas,Soybeans,Mature,No Control,Spring
2023-03-15,Texas,Rice,Mature,Chemical Control,Spring
2023-03-16,Texas,Rice,Fruiting,No Control,Spring
2023-03-17,Texas,Rice,Fruiting,Chemical Control,Spring
2023-03-18,Texas,Cotton,Fruiting,Chemical Control,Spring
2023-03-19,Texas,Soybeans,Seedling,Cultural Control,Spring
2023-03-20,Texas,Cotton,Flowering,No Control,Spring
2023-03-21,Texas,Corn,Seedling,Cultural Control,Spring
2023-03-22,Texas,Rice,Mature,Chemical Control,Spring
2023-03-23,Texas,Rice,Flowering,No Control,Spring
2023-03-24,Texas,Soybeans,Flowering,Cultural Control,Spring
2023-03-25,Texas,Cotton,Flowering,No Control,Spring
2023-03-26,Texas,Corn,Flowering,Chemical Control,Spring
2023-03-27,Texas,Corn,Vegetative,Biological Control,Spring
2023-03-28,Texas,Corn,Seedling,Biological Control,Spring
2023-03-29,Texas,Rice,Seedling,Biological Control,Spring
2023-03-30,Texas,Rice,Vegetative,Chemical Control,Spring
2023-03-31,Texas,Soybeans,Mature,Cultural Control,Spring
2023-04-01,Texas,Cotton,Mature,Chemical Control,Spring
2023-04-02,Texas,Corn,Flowering,Cultural Control,Spring
2023-04-03,Texas,Cotton,Fruiting,Chemical Control,Spring
2023-04-04,Texas,Cotton,Flowering,No Control,Spring
2023-04-05,Texas,Rice,Flowering,Chemical Control,Spring
2023-04-06,Texas,Wheat,Vegetative,No Control,Spring
2023-04-07,Texas,Wheat,Seedling,Chemical Control,Spring
2023-04-08,Texas,Wheat,Mature,Cultural Control,Spring
2023-04-09,Texas,Corn,Seedling,No Control,Spring
2023-04-10,Texas,Rice,Vegetative,Chemical Control,Spring
2023-04-11,Texas,Wheat,Mature,Chemical Control,Spring
2023-04-12,Texas,Soybeans,Flowering,Chemical Control,Spring
2023-04-13,Texas,Cotton,Seedling,Biological Control,Spring
2023-04-14,Texas,Wheat,Vegetative,Cultural Control,Spring
2023-04-15,Texas,Cotton,Flowering,Biological Control,Spring
2023-04-16,Texas,Rice,Flowering,Biological Control,Spring
2023-04-17,Texas,Rice,Seedling,Cultural Control,Spring
2023-04-18,Texas,Corn,Mature,Cultural Control,Spring
2023-04-19,Texas,Soybeans,Flowering,Biological Control,Spring
2023-04-20,Texas,Rice,Flowering,Cultural Control,Spring
2023-04-21,Texas,Cotton,Flowering,Cultural Control,Spring
2023-04-22,Texas,Wheat,Flowering,No Control,Spring
2023-04-23,Texas,Wheat,Mature,Cultural Control,Spring
2023-04-24,Texas,Rice,Mature,Chemical Control,Spring
2023-04-25,Texas,Cotton,Vegetative,Chemical Control,Spring
2023-04-26,Texas,Corn,Seedling,No Control,Spring
2023-04-27,Texas,Wheat,Fruiting,Biological Control,Spring
2023-04-28,Texas,Cotton,Fruiting,Biological Control,Spring
2023-04-29,Texas,Cotton,Vegetative,No Control,Spring
2023-04-30,Texas,Cotton,Flowering,Chemical Control,Spring
2023-05-01,Texas,Wheat,Fruiting,Chemical Control,Spring
2023-05-02,Texas,Cotton,Seedling,Cultural Control,Spring
2023-05-03,Texas,Cotton,Flowering,Biological Control,Spring
2023-05-04,Texas,Wheat,Vegetative,No Control,Spring
2023-05-05,Texas,Corn,Mature,Biological Control,Spring
2023-05-06,Texas,Rice,Flowering,No Control,Spring
2023-05-07,Texas,Soybeans,Seedling,Biological Control,Spring
2023-05-08,Texas,Soybeans,Mature,Chemical Control,Spring
2023-05-09,Texas,Corn,Vegetative,No Control,Spring
2023-05-10,Texas,Rice,Flowering,Chemical Control,Spring
2023-05-11,Texas,Soybeans,Mature,No Control,Spring
2023-05-12,Texas,Soybeans,Fruiting,Cultural Control,Spring
2023-05-13,Texas,Soybeans,Flowering,No Control,Spring
2023-05-14,Texas,Rice,Flowering,Chemical Control,Spring
2023-05-15,Texas,Soybeans,Mature,Biological Control,Spring
2023-05-16,Texas,Cotton,Seedling,No Control,Spring
2023-05-17,Texas,Rice,Mature,Cultural Control,Spring
2023-05-18,Texas,Wheat,Mature,No Control,Spring
2023-05-19,Texas,Corn,Fruiting,Chemical Control,Spring
2023-05-20,Texas,Soybeans,Flowering,Biological Control,Spring
2023-05-21,Texas,Wheat,Fruiting,No Control,Spring
2023-05-22,Texas,Corn,Mature,Biological Control,Spring
2023-05-23,Texas,Cotton,Mature,Biological Control,Spring
2023-05-24,Texas,Wheat,Mature,Biological Control,Spring
2023-05-25,Texas,Soybeans,Mature,Chemical Control,Spring
2023-05-26,Texas,Corn,Flowering,Biological Control,Spring
2023-05-27,Texas,Cotton,Flowering,Biological Control,Spring
2023-05-28,Texas,Wheat,Seedling,No Control,Spring
2023-05-29,Texas,Cotton,Flowering,No Control,Spring
2023-05-30,Texas,Rice,Fruiting,Biological Control,Spring
2023-05-31,Texas,Cotton,Seedling,No Control,Spring
2023-06-01,Texas,Corn,Flowering,No Control,Summer
2023-06-02,Texas,Rice,Seedling,Biological Control,Summer
2023-06-03,Texas,Corn,Mature,No Control,Summer
2023-06-04,Texas,Soybeans,Fruiting,No Control,Summer
2023-06-05,Texas,Wheat,Mature,Biological Control,Summer
2023-06-06,Texas,Rice,Fruiting,No Control,Summer
2023-06-07,Texas,Corn,Flowering,Biological Control,Summer
2023-06-08,Texas,Soybeans,Fruiting,Chemical Control,Summer
2023-06-09,Texas,Corn,Flowering,Biological Control,Summer
2023-06-10,Texas,Wheat,Fruiting,Chemical Control,Summer
2023-06-11,Texas,Corn,Seedling,Cultural Control,Summer
2023-06-12,Texas,Wheat,Mature,No Control,Summer
2023-06-13,Texas,Wheat,Mature,No Control,Summer
2023-06-14,Texas,Wheat,Mature,Chemical Control,Summer
2023-06-15,Texas,Corn,Mature,Biological Control,Summer
2023-06-16,Texas,Soybeans,Vegetative,Cultural Control,Summer
2023-06-17,Texas,Soybeans,Flowering,Chemical Control,Summer
2023-06-18,Texas,Cotton,Vegetative,No Control,Summer
2023-06-19,Texas,Corn,Mature,Chemical Control,Summer
2023-06-20,Texas,Cotton,Fruiting,Biological Control,Summer
2023-06-21,Texas,Corn,Flowering,Biological Control,Summer
2023-06-22,Texas,Soybeans,Vegetative,Biological Control,Summer
2023-06-23,Texas,Cotton,Seedling,No Control,Summer
2023-06-24,Texas,Rice,Mature,Chemical Control,Summer
2023-06-25,Texas,Rice,Flowering,No Control,Summer
2023-06-26,Texas,Soybeans,Fruiting,Chemical Control,Summer
2023-06-27,Texas,Rice,Seedling,Biological Control,Summer
2023-06-28,Texas,Corn,Flowering,Chemical Control,Summer
2023-06-29,Texas,Rice,Fruiting,Chemical Control,Summer
2023-06-30,Texas,Corn,Flowering,Chemical Control,Summer
2023-07-01,Texas,Rice,Flowering,Biological Control,Summer
